TV_ID,CREATIVE_ID,PREVIOUS_CONTENT_ID,NEXT_CONTENT_ID,PREVIOUS_NETWORK_ID,NEXT_NETWORK_ID,AUDIENCES,TIMESTAMP
a2b75364,301772,EP000191483262,EP000191483262,Turner Network TV,Turner Network TV,ADB-3469623,1.47923E+12
a2b75364,301785,unknown,unknown,N/A,N/A,ADB-3469623,1.47923E+12
a2b75364,301785,unknown,unknown,N/A,N/A,ADB-3469623,1.48087E+12
a2b75364,301778,EP004971131984,EP004971131984,E!,E!,ADB-3469623,1.48087E+12
6943365,301778,EP019213280031,EP019213280031,Fox,Fox,"ADB-1788972,ADB-1788951",1.48046E+12
85533597,301778,EP019213280031,EP019213280031,Fox,Fox,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.48046E+12
85533597,308122,unknown,unknown,N/A,N/A,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.48046E+12
85533597,301783,unknown,EP015057881176,N/A,CBS,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.48046E+12
85533597,308122,EP006819110325,EP006819110325,CBS,CBS,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.48059E+12
85533597,308122,EP016118480956,EP016118480956,ABC,ABC,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.48059E+12
85533597,308122,MV003408350000,MV003408350000,FX,FX,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.47846E+12
85533597,301783,unknown,unknown,N/A,N/A,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.47846E+12
85533597,308122,EP021854290023,EP021854290023,CBS,CBS,"ADB-3469623,ADB-3469626,ADB-3469612,ADB-3469625,ADB-3469624,ADB-3469634,ADB-3469614,ADB-3469603",1.48121E+12
